"ENGLISH";"RUSSIAN"
"ability";"способность"
"achieve";"достижения"
"arrangement";"расположение"
"can you play the guitar?";"вы можете играть на гитаре?"
"congestion";"перегруженность"
"conversation";"разговор"
"derive";"извлечь"
"dialogue";"диалог"
"discuss";"обсудить"
"exceed";"превышать"
"exception";"исключение"
"famous";"известный"
"fashion";"мода"
"gauge";"измеритель"
"guitar";"гитара"
"hi";"привет"
"hierarchical";"иерархический"
"how do you do?";"как поживаете?"
"in conjuction";"в сочетании"
"inherit";"наследовать"
"invoke";"ссылаться"
"judo";"дзюдо"
"leaf";"лист"
"mail";"почта"
"mistake";"ошибка"
"odd";"странно"
"prerequisite";"предпосылка"
"provisioning";"обеспечения"
"purpose";"цель"
"raise";"поднять"
"represent";"представлять"
"restaurant";"ресторан"
"riding a bike";"езда на велосипеде"
"sailing";"парусный спорт"
"sentences";"предложения"
"shortage";"дефицит"
"skill";"мастерство"
"vocabulary";"словарь"
"wish list";"список пожеланий"
